@relation horse-colic-weka.filters.supervised.attribute.Discretize-Rfirst-last

@attribute surgery {yes,no}
@attribute Age {adult,young}
@attribute rectal_temperature {'\'All\''}
@attribute pulse {'\'(-inf-58]\'','\'(58-inf)\''}
@attribute respiratory_rate {'\'(-inf-59]\'','\'(59-inf)\''}
@attribute temp_extremities {normal,warm,cool,cold}
@attribute peripheral_pulse {normal,increased,reduced,absent}
@attribute mucous_membranes {'normal pink','bright pink','pale pink','pale cyanotic','bright red','dark cyanotic'}
@attribute capillary_refill_time {<3,>=3,'meaning unknown'}
@attribute pain {'alert no pain',depressed,'intermittent mild pain','intermittent severe pain','continuous severe pain'}
@attribute peristalsis {hypermotile,normal,hypomotile,absent}
@attribute abdominal_distension {none,slight,moderate,severe}
@attribute nasogastric_tube {none,slight,significant}
@attribute nasogastric_reflux {none,>1l,<1l}
@attribute nasogastric_reflux_PH {'\'All\''}
@attribute rectal_examination {normal,increased,decreased,absent}
@attribute abdomen {normal,other,'firm feces in large intestine','distended small intestine','distended large intestine'}
@attribute packed_cell_volume {'\'(-inf-49.5]\'','\'(49.5-inf)\''}
@attribute total_protein {'\'All\''}
@attribute abdominocentesis_appearance {clear,cloudy,serosanguinous}
@attribute abdomcentesis_total_protein {'\'All\''}
@attribute outcome {lived,died,euthanized}
@attribute surgical_lesion {yes,no}

@data
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,slight,none,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'',?,?,cool,reduced,'pale cyanotic',>=3,'intermittent mild pain',absent,moderate,?,<1l,'\'All\'',absent,'distended large intestine',?,'\'All\'',clear,?,euthanized,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,?,'normal pink',<3,'continuous severe pain',hypomotile,none,?,none,?,?,?,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'bright pink',<3,'alert no pain',hypomotile,none,none,none,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(59-inf)\'',normal,normal,'bright pink',<3,depressed,hypomotile,slight,none,none,?,decreased,'distended small intestine','\'(-inf-49.5]\'','\'All\'',cloudy,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,'dark cyanotic',>=3,'intermittent severe pain',hypomotile,none,?,>1l,?,normal,'distended small intestine','\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',euthanized,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'normal pink',<3,'intermittent mild pain',hypermotile,none,?,?,?,normal,?,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'pale pink',<3,'intermittent severe pain',absent,moderate,slight,none,?,absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',died,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'pale cyanotic',<3,'alert no pain',hypermotile,moderate,slight,none,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',?,?,euthanized,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(59-inf)\'',cold,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,slight,>1l,?,absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'',?,?,cool,normal,'pale pink',<3,'continuous severe pain',absent,slight,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',cloudy,?,lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,reduced,?,<3,'intermittent severe pain',absent,none,slight,none,?,normal,?,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,'pale pink',<3,depressed,hypomotile,moderate,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,'\'All\'',euthanized,no
yes,adult,'\'All\'','\'(-inf-58]\'',?,?,?,'normal pink',<3,?,?,none,slight,none,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,<1l,'\'All\'',?,?,'\'(-inf-49.5]\'','\'All\'',?,?,died,yes
?,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'pale pink',<3,'intermittent severe pain',hypomotile,none,slight,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',?,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,depressed,hypomotile,none,?,?,?,?,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,?,'\'(58-inf)\'',?,cool,?,'pale cyanotic',>=3,'continuous severe pain',absent,?,slight,?,?,increased,?,'\'(49.5-inf)\'','\'All\'',?,?,died,yes
yes,young,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale pink',<3,'continuous severe pain',hypermotile,moderate,slight,>1l,'\'All\'',increased,?,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',died,yes
yes,adult,?,?,?,cool,reduced,'pale pink',>=3,'continuous severe pain',hypomotile,moderate,significant,>1l,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(-inf-58]\'',?,normal,normal,'normal pink',<3,'alert no pain',normal,severe,slight,>1l,?,absent,'distended large intestine',?,?,?,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'',?,normal,increased,'pale pink',<3,'alert no pain',hypermotile,none,none,none,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,?,<3,'intermittent mild pain',hypomotile,?,none,none,?,?,?,'\'(49.5-inf)\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,depressed,normal,none,none,none,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,'bright red',<3,?,?,?,?,?,?,?,?,'\'(49.5-inf)\'','\'All\'',?,?,died,no
yes,adult,?,'\'(58-inf)\'',?,cold,reduced,'dark cyanotic',>=3,'continuous severe pain',absent,severe,?,?,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',died,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',>=3,'alert no pain',normal,none,slight,?,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'dark cyanotic',<3,depressed,absent,severe,significant,>1l,'\'All\'',absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,euthanized,no
no,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'bright pink',<3,depressed,hypomotile,moderate,slight,none,?,decreased,?,'\'(49.5-inf)\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'',?,normal,reduced,'pale pink',<3,'intermittent mild pain',absent,severe,none,<1l,'\'All\'',absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'pale pink',<3,'intermittent mild pain',absent,moderate,none,>1l,'\'All\'',normal,'distended small intestine','\'(-inf-49.5]\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'',?,?,reduced,'dark cyanotic',>=3,depressed,absent,slight,slight,<1l,'\'All\'',absent,'distended small intestine','\'(49.5-inf)\'','\'All\'',?,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,?,?,'alert no pain',hypermotile,?,none,none,?,normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,depressed,hypomotile,slight,?,?,?,?,other,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'',?,?,cold,reduced,'dark cyanotic',>=3,'intermittent severe pain',absent,slight,none,<1l,'\'All\'',absent,'distended small intestine','\'(49.5-inf)\'',?,serosanguinous,'\'All\'',died,yes
yes,adult,?,'\'(58-inf)\'',?,cool,reduced,'pale cyanotic',>=3,?,absent,severe,slight,none,'\'All\'',?,?,'\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,'alert no pain',hypomotile,slight,slight,none,?,decreased,other,'\'(49.5-inf)\'','\'All\'',clear,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,severe,slight,?,?,?,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',<3,'alert no pain',absent,slight,slight,?,'\'All\'',?,other,'\'(-inf-49.5]\'','\'All\'',clear,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,slight,none,none,?,normal,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,?,'pale pink',>=3,?,absent,severe,slight,<1l,'\'All\'',?,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,euthanized,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,?,?,?,?,?,?,?,?,?,lived,no
no,adult,?,?,'\'(-inf-59]\'',normal,normal,'bright pink',<3,depressed,hypermotile,slight,significant,none,?,normal,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,?,lived,no
yes,adult,?,?,?,?,?,?,?,'intermittent severe pain',?,?,none,none,?,?,'distended large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,?,<3,?,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,?,?,>=3,'intermittent mild pain',hypomotile,slight,slight,none,?,decreased,?,'\'(-inf-49.5]\'','\'All\'',clear,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,reduced,'pale pink',<3,'continuous severe pain',hypomotile,none,none,none,?,decreased,?,'\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',euthanized,yes
yes,adult,'\'All\'','\'(58-inf)\'',?,normal,normal,'bright red',>=3,'intermittent mild pain',hypomotile,slight,slight,>1l,?,absent,'distended small intestine','\'(49.5-inf)\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,'bright red',<3,?,hypomotile,moderate,none,?,?,absent,?,'\'(49.5-inf)\'','\'All\'',clear,'\'All\'',euthanized,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,none,?,?,?,increased,normal,'\'(-inf-49.5]\'','\'All\'',clear,?,lived,no
no,adult,?,'\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,none,slight,none,?,?,normal,?,'\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'pale pink',<3,depressed,absent,slight,slight,<1l,'\'All\'',?,'distended small intestine','\'(49.5-inf)\'','\'All\'',?,?,lived,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',?,?,?,>=3,'continuous severe pain',?,severe,significant,none,?,?,'distended large intestine',?,?,?,?,euthanized,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'pale pink',<3,?,hypermotile,none,?,?,?,normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'bright red',?,'intermittent mild pain',hypomotile,moderate,?,>1l,?,?,?,'\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale pink',<3,depressed,absent,moderate,none,<1l,'\'All\'',?,?,'\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',lived,yes
yes,adult,?,'\'(58-inf)\'',?,cool,reduced,'bright red',>=3,depressed,absent,moderate,?,<1l,?,absent,'distended small intestine','\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',died,yes
no,adult,?,?,?,cool,absent,'dark cyanotic',?,'intermittent severe pain',?,severe,?,?,?,?,?,?,?,?,?,died,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,none,slight,none,?,decreased,other,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',?,?,'pale cyanotic',<3,'intermittent severe pain',?,?,?,none,'\'All\'',?,?,?,?,cloudy,'\'All\'',died,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',>=3,'continuous severe pain',absent,severe,none,none,?,absent,?,'\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',lived,yes
no,adult,'\'All\'','\'(58-inf)\'',?,cool,reduced,'bright red',>=3,'intermittent severe pain',hypomotile,severe,slight,none,?,absent,'distended large intestine',?,?,?,?,euthanized,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'bright red',>=3,'intermittent severe pain',hypomotile,moderate,slight,<1l,'\'All\'',absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,?,died,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,'normal pink',<3,'intermittent mild pain',?,slight,none,<1l,'\'All\'',normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'',?,'\'(-inf-59]\'',cool,reduced,'dark cyanotic',>=3,'continuous severe pain',?,severe,none,none,?,?,?,'\'(49.5-inf)\'','\'All\'',?,?,died,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'bright pink',<3,depressed,hypermotile,none,slight,none,?,normal,?,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',warm,increased,'bright pink',<3,'alert no pain',hypermotile,none,significant,none,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',cold,reduced,'dark cyanotic',>=3,?,hypomotile,?,?,?,?,?,?,'\'(49.5-inf)\'',?,?,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',warm,reduced,'normal pink',<3,?,hypomotile,none,none,>1l,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,significant,<1l,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(58-inf)\'',?,normal,normal,?,<3,?,hypermotile,none,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',clear,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,depressed,hypermotile,none,slight,>1l,'\'All\'',normal,'distended small intestine','\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,normal,'pale cyanotic',<3,'intermittent mild pain',hypomotile,none,none,none,?,decreased,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,?,lived,yes
no,young,?,'\'(58-inf)\'','\'(-inf-59]\'',warm,normal,'normal pink',<3,'intermittent severe pain',hypermotile,none,?,?,?,normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'intermittent mild pain',hypomotile,moderate,none,>1l,?,absent,?,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',>=3,'intermittent severe pain',hypomotile,severe,?,?,?,?,?,'\'(49.5-inf)\'','\'All\'',?,?,died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'bright pink',<3,depressed,normal,none,?,?,?,absent,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'normal pink',?,?,hypermotile,slight,?,?,?,normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'bright red',>=3,depressed,normal,none,slight,none,?,increased,'firm feces in large intestine','\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',euthanized,no
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,?,>=3,depressed,absent,slight,none,>1l,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,died,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'normal pink',>=3,'alert no pain',hypomotile,none,?,?,?,decreased,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,normal,'bright pink',<3,depressed,hypermotile,slight,?,?,?,decreased,other,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,?,'pale pink',<3,'intermittent mild pain',hypermotile,moderate,slight,none,?,decreased,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'',?,normal,normal,'pale pink',<3,'intermittent severe pain',absent,moderate,slight,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',died,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,?,?,?,?,?,none,none,?,?,'distended large intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',euthanized,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,depressed,hypomotile,none,slight,none,?,absent,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'',?,'\'(-inf-59]\'',cool,normal,'pale pink',<3,'intermittent severe pain',absent,slight,slight,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,yes
no,adult,'\'All\'','\'(58-inf)\'',?,cool,reduced,'bright red',>=3,'intermittent severe pain',hypomotile,severe,slight,none,?,absent,'distended large intestine',?,?,?,?,euthanized,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',warm,reduced,'pale cyanotic',>=3,'intermittent severe pain',absent,moderate,slight,none,?,decreased,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,lived,yes
yes,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',cool,reduced,'bright red',>=3,?,hypomotile,moderate,slight,<1l,?,absent,'distended large intestine','\'(49.5-inf)\'','\'All\'',?,?,euthanized,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'normal pink',<3,'intermittent mild pain',hypermotile,slight,slight,?,?,decreased,'firm feces in large intestine','\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,normal,'bright pink',<3,depressed,absent,slight,?,?,?,normal,'distended large intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',died,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'pale cyanotic',<3,depressed,absent,severe,none,none,?,absent,'distended large intestine','\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',died,yes
yes,young,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,reduced,'bright pink',>=3,'intermittent mild pain',hypomotile,moderate,significant,none,'\'All\'',?,?,'\'(-inf-49.5]\'','\'All\'',clear,?,lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cool,normal,'pale pink',<3,?,normal,slight,slight,none,?,normal,'distended small intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'normal pink',<3,'alert no pain',hypermotile,none,slight,?,?,increased,?,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'alert no pain',normal,none,slight,none,?,normal,other,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
no,adult,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',?,?,?,>=3,?,?,?,?,?,?,?,?,'\'(49.5-inf)\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,increased,'bright pink',<3,depressed,normal,?,?,?,?,?,?,?,?,?,?,euthanized,yes
yes,adult,?,'\'(-inf-58]\'','\'(-inf-59]\'',cool,reduced,'pale cyanotic',<3,'intermittent mild pain',absent,moderate,slight,none,?,absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,absent,?,>=3,'continuous severe pain',absent,?,?,?,?,?,?,?,?,cloudy,'\'All\'',euthanized,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,?,<3,depressed,absent,moderate,?,?,?,absent,?,'\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
yes,adult,?,'\'(58-inf)\'','\'(-inf-59]\'',cold,absent,'pale cyanotic',<3,depressed,hypomotile,none,slight,none,'\'All\'',absent,'distended small intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',normal,normal,'pale pink',<3,'intermittent mild pain',hypomotile,slight,slight,?,?,absent,'distended small intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,none,none,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'alert no pain',hypomotile,none,slight,none,?,decreased,other,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,no
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'bright red',>=3,depressed,hypomotile,moderate,none,<1l,?,?,'distended small intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,?,died,yes
yes,young,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',cloudy,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,?,'dark cyanotic',>=3,'continuous severe pain',absent,moderate,slight,>1l,?,normal,'distended large intestine','\'(49.5-inf)\'','\'All\'',serosanguinous,'\'All\'',euthanized,yes
yes,young,'\'All\'','\'(58-inf)\'','\'(59-inf)\'',?,?,?,?,?,hypermotile,?,slight,?,?,normal,?,'\'(-inf-49.5]\'','\'All\'',clear,'\'All\'',lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,?,<3,'intermittent severe pain',hypomotile,severe,?,?,?,?,?,?,?,?,?,lived,yes
no,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cool,reduced,'dark cyanotic',<3,'continuous severe pain',absent,none,?,<1l,?,absent,?,'\'(49.5-inf)\'','\'All\'',?,'\'All\'',died,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',?,?,?,?,?,?,?,?,?,?,?,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,yes
yes,adult,'\'All\'','\'(58-inf)\'','\'(-inf-59]\'',cold,reduced,'pale pink',>=3,'intermittent mild pain',hypomotile,moderate,slight,none,?,decreased,'distended large intestine','\'(-inf-49.5]\'','\'All\'',cloudy,'\'All\'',lived,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',cold,normal,'pale pink',<3,?,normal,none,none,none,?,normal,normal,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
yes,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'bright red',<3,'intermittent severe pain',hypomotile,none,slight,<1l,'\'All\'',normal,?,'\'(49.5-inf)\'','\'All\'',cloudy,'\'All\'',died,yes
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',normal,normal,'normal pink',<3,'intermittent mild pain',hypermotile,slight,?,?,?,normal,?,'\'(-inf-49.5]\'','\'All\'',?,?,lived,no
no,adult,'\'All\'','\'(-inf-58]\'','\'(-inf-59]\'',warm,normal,'bright red',<3,'intermittent mild pain',hypermotile,none,?,none,?,?,other,'\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',lived,no
no,adult,'\'All\'','\'(58-inf)\'',?,cool,reduced,'pale pink',<3,'intermittent mild pain',hypomotile,slight,slight,<1l,?,?,'distended small intestine','\'(-inf-49.5]\'','\'All\'',serosanguinous,'\'All\'',euthanized,yes
