,Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
1389,Upto HSC,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Public,Urban,Female,,Computer
1390,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,3,Yes,Public,Urban,Male,Yes,Computer
1391,Upto HSC,18.0,Yes,No,Yes,No,Rural,No,Broadband,4,3,No,Private,Urban,Male,Yes,Mobile
1392,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,No,Private,Urban,Male,Yes,Computer
1393,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,3,No,Public,Rural,Female,Yes,Mobile
1394,Hons or Grater,25.0,Yes,Yes,No,Yes,,Yes,Mobile Internet,4,3,Yes,Private,,Male,No,Mobile
1395,Hons or Grater,26.0,Yes,Yes,No,No,Urban,No,Broadband,6,3,Yes,Public,Urban,Female,Yes,Mobile
1396,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Public,Urban,Female,,Mobile
1397,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Public,Rural,Female,Yes,Mobile
1398,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Public,Rural,Male,Yes,Computer
1399,Upto HSC,21.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,No,Public,Urban,Male,No,Computer
1400,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,No,Private,Urban,Male,No,Computer
1401,Upto HSC,25.0,Yes,No,Yes,No,Urban,No,Mobile Internet,5,4,Yes,Private,Urban,Male,Yes,Computer
1402,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Broadband,6,2,No,Private,Rural,Female,Yes,Computer
1403,Upto HSC,22.0,No,No,Yes,Yes,Urban,No,Broadband,4,3,No,Private,Rural,Female,Yes,Computer
1404,Hons or Grater,25.0,No,No,Yes,Yes,Urban,No,Mobile Internet,3,4,No,Private,Rural,Female,No,Computer
1405,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Computer
1406,Upto HSC,21.0,Yes,Yes,No,No,Urban,No,Broadband,3,3,No,Private,Rural,Male,No,Mobile
1407,Hons or Grater,24.0,Yes,No,No,Yes,Urban,No,Broadband,4,3,No,Private,Rural,Male,Yes,Mobile
1408,Hons or Grater,25.0,Yes,Yes,No,No,,Yes,Mobile Internet,4,4,Yes,Private,Rural,Male,Yes,Mobile
1409,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,4,Yes,Private,Rural,Female,Yes,Computer
1410,Upto HSC,20.0,Yes,No,No,No,Urban,No,Broadband,5,3,No,Private,Urban,Female,Yes,Computer
1411,Hons or Grater,25.0,No,No,No,No,Urban,No,Mobile Internet,5,4,No,,Rural,Female,Yes,Computer
1412,Hons or Grater,22.0,Yes,No,No,No,Urban,No,Broadband,6,4,Yes,Private,Urban,Female,Yes,Computer
1413,Upto HSC,18.0,Yes,No,Yes,No,Urban,No,Broadband,6,2,Yes,Public,Rural,Female,Yes,Computer
1414,Hons or Grater,25.0,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,4,2,No,Private,Urban,Female,Yes,Mobile
1415,Upto HSC,21.0,Yes,Yes,No,No,Urban,No,Mobile Internet,6,4,Yes,Private,Rural,Female,Yes,Mobile
1416,Upto HSC,18.0,Yes,No,No,No,Rural,No,Mobile Internet,5,4,Yes,Private,Rural,,Yes,Mobile
1417,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Rural,,Yes,Computer
1418,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Female,Yes,Computer
1419,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Public,Urban,Male,Yes,Computer
1420,Upto HSC,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Public,Urban,Male,No,Computer
1421,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,4,Yes,Public,Urban,Male,Yes,Computer
1422,Upto HSC,20.0,Yes,No,No,Yes,Urban,No,Broadband,5,4,No,Public,Urban,Male,Yes,Computer
1423,Hons or Grater,24.0,Yes,,No,Yes,Rural,Yes,Broadband,4,3,Yes,Private,Rural,Male,Yes,Computer
1424,Upto HSC,20.0,No,No,Yes,No,Urban,No,Mobile Internet,4,3,No,Private,Urban,Female,No,Mobile
1425,Hons or Grater,22.0,No,Yes,No,No,Urban,No,Mobile Internet,6,3,Yes,Private,Urban,Female,No,Mobile
1426,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Broadband,5,2,No,Public,Rural,Female,No,Computer
1427,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Male,No,Computer
1428,Upto HSC,21.0,Yes,No,No,No,Rural,No,Mobile Internet,3,3,Yes,Public,Rural,Male,No,Computer
1429,Hons or Grater,23.0,Yes,No,No,No,Rural,No,Broadband,5,4,No,Private,Urban,Male,Yes,Computer
1430,Hons or Grater,22.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,3,Yes,Public,Urban,Female,Yes,Computer
1431,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,2,Yes,Private,Urban,Male,Yes,Computer
1432,Upto HSC,22.0,No,No,No,Yes,Urban,No,Broadband,6,3,No,Public,Urban,Female,No,Computer
1433,Hons or Grater,23.0,Yes,No,Yes,Yes,Urban,No,Mobile Internet,6,2,No,Public,Urban,Female,Yes,Mobile
1434,Hons or Grater,26.0,Yes,Yes,No,No,,No,Mobile Internet,5,3,No,,Urban,Female,Yes,Computer
1435,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,No,Private,Rural,,No,Mobile
1436,Upto HSC,20.0,Yes,No,No,No,Urban,No,Broadband,5,3,Yes,Public,Urban,Female,,Computer
1437,Hons or Grater,25.0,Yes,Yes,No,Yes,Rural,No,Broadband,5,3,No,Public,Urban,Female,Yes,Mobile
1438,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Public,Urban,Male,No,Mobile
1439,Upto HSC,20.0,Yes,No,No,No,Urban,No,Mobile Internet,4,2,No,Private,Urban,,No,Computer
1440,Hons or Grater,25.0,No,No,No,No,Rural,No,Broadband,4,3,Yes,Private,Urban,Male,Yes,Mobile
1441,Hons or Grater,22.0,Yes,No,Yes,Yes,Urban,No,Broadband,3,2,Yes,Public,Urban,Male,Yes,Computer
1442,Hons or Grater,22.0,Yes,No,No,No,Urban,No,Broadband,5,4,No,,,Male,Yes,Computer
1443,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,No,Private,Urban,Male,No,Computer
1444,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,No,Broadband,3,3,Yes,Public,Urban,Male,Yes,Computer
1445,Upto HSC,18.0,Yes,No,Yes,Yes,Urban,No,Broadband,4,4,Yes,Public,Urban,Female,No,Computer
1446,Hons or Grater,25.0,Yes,Yes,No,Yes,,Yes,Mobile Internet,5,4,Yes,Private,,Male,No,Mobile
1447,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,No,Broadband,6,3,No,Public,Urban,Male,,Mobile
1448,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Public,,Female,No,Computer
1449,Upto HSC,18.0,Yes,No,No,No,Urban,No,Mobile Internet,5,4,No,Private,Urban,Female,Yes,Computer
1450,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,No,Private,Rural,Male,,Mobile
1451,Upto HSC,25.0,Yes,No,No,No,Urban,No,Broadband,4,4,No,Private,Urban,Female,Yes,Computer
1452,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Broadband,5,3,No,Private,Rural,Male,No,Computer
1453,Upto HSC,25.0,Yes,No,Yes,Yes,Rural,No,Broadband,5,3,No,Public,Urban,Male,Yes,Computer
1454,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,No,Private,Urban,Male,No,Mobile
1455,Hons or Grater,24.0,Yes,No,Yes,No,Urban,No,Mobile Internet,6,4,No,Private,Rural,Female,Yes,Mobile
1456,Hons or Grater,22.0,Yes,No,Yes,Yes,Urban,No,Mobile Internet,5,2,Yes,Public,Rural,Female,Yes,Computer
1457,Hons or Grater,23.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,4,2,No,Private,Urban,,No,Computer
1458,Upto HSC,21.0,Yes,Yes,No,No,Rural,Yes,Broadband,6,3,Yes,Public,,Male,,Mobile
1459,Hons or Grater,25.0,No,No,No,No,Rural,No,Broadband,5,2,Yes,,Rural,Female,Yes,Mobile
1460,Hons or Grater,24.0,Yes,No,Yes,No,Urban,No,Broadband,4,2,Yes,Private,Urban,Female,Yes,Mobile
1461,Upto HSC,18.0,No,Yes,No,Yes,Urban,Yes,Mobile Internet,5,2,No,Public,Urban,Female,,Computer
1462,Upto HSC,22.0,Yes,No,No,No,Rural,No,Mobile Internet,4,2,No,Public,Urban,Male,Yes,Mobile
1463,Hons or Grater,22.0,Yes,No,No,Yes,Urban,No,Broadband,3,3,No,Private,Urban,Female,Yes,Computer
1464,Hons or Grater,25.0,No,No,No,No,Rural,No,Mobile Internet,4,2,Yes,Private,Urban,Male,Yes,Mobile
1465,Hons or Grater,22.0,Yes,No,No,Yes,Urban,No,Broadband,3,3,No,Public,Rural,Male,Yes,Computer
1466,Hons or Grater,22.0,Yes,No,Yes,Yes,Urban,No,Broadband,4,4,No,Private,Rural,Female,No,Computer
1467,Upto HSC,22.0,Yes,No,No,Yes,Urban,No,Broadband,6,3,No,Public,Urban,Female,,Computer
1468,Hons or Grater,25.0,No,No,No,No,Urban,No,Broadband,6,4,No,Public,,Female,No,Mobile
1469,Hons or Grater,25.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,No,Public,Rural,Male,No,Computer
1470,Upto HSC,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Female,No,Computer
1471,Hons or Grater,24.0,Yes,No,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Rural,Male,Yes,Mobile
1472,Hons or Grater,25.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,4,No,Private,,,No,Computer
1473,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,No,Mobile Internet,4,2,No,Private,Rural,Female,Yes,Computer
1474,Hons or Grater,24.0,Yes,Yes,No,No,Rural,No,Broadband,4,3,No,Private,Urban,Female,No,Computer
1475,Upto HSC,22.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,No,Public,Rural,Female,No,Mobile
1476,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,4,No,Private,Urban,Male,Yes,Computer
1477,Hons or Grater,23.0,No,No,No,No,Rural,No,Broadband,3,2,Yes,,Rural,Male,Yes,Computer
1478,Hons or Grater,24.0,Yes,,Yes,Yes,Urban,Yes,Broadband,3,3,Yes,Public,Rural,Female,Yes,Mobile
1479,Hons or Grater,23.0,Yes,No,No,Yes,Urban,No,Broadband,5,4,Yes,Public,Urban,Female,Yes,Mobile
1480,Hons or Grater,22.0,No,Yes,No,Yes,Urban,No,Mobile Internet,5,2,Yes,Public,Urban,Male,No,Mobile
1481,Hons or Grater,24.0,Yes,No,No,Yes,Urban,No,Mobile Internet,4,3,No,Private,Urban,Male,Yes,Computer
1482,Hons or Grater,22.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Public,,Female,No,Mobile
1483,Upto HSC,22.0,Yes,No,No,No,Urban,No,Mobile Internet,4,3,No,Public,Rural,Male,No,Mobile
1484,Hons or Grater,24.0,Yes,No,Yes,No,,No,Mobile Internet,3,4,Yes,Private,Urban,Female,No,Mobile
1485,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,6,2,No,Public,Urban,Male,No,Computer
1486,Hons or Grater,22.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,3,Yes,Private,Rural,Male,No,Computer
1487,Hons or Grater,22.0,Yes,Yes,No,Yes,,Yes,Broadband,3,3,Yes,,Rural,Male,Yes,Mobile
1488,Hons or Grater,22.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Public,Urban,Female,,Computer
1489,Upto HSC,22.0,Yes,No,Yes,No,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Computer
1490,Upto HSC,20.0,Yes,No,Yes,Yes,Urban,No,Broadband,4,4,No,Private,Urban,Male,Yes,Computer
1491,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,3,Yes,Public,Rural,Female,Yes,Computer
1492,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Public,,Male,Yes,Mobile
1493,Hons or Grater,25.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Rural,Male,No,Mobile
1494,Hons or Grater,25.0,Yes,Yes,No,Yes,,Yes,Mobile Internet,5,3,Yes,Private,Urban,Male,No,Mobile
1495,Upto HSC,20.0,No,No,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Female,,Mobile
1496,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,4,Yes,Public,Rural,Female,Yes,Computer
1497,Hons or Grater,22.0,No,Yes,No,Yes,Urban,Yes,Broadband,5,3,Yes,Public,Urban,Male,No,Mobile
1498,Upto HSC,21.0,Yes,No,Yes,Yes,,No,Mobile Internet,5,3,No,Private,Rural,Female,No,Computer
1499,Hons or Grater,26.0,Yes,Yes,No,Yes,Rural,No,Broadband,5,3,Yes,Private,Rural,Female,Yes,Computer
1500,Hons or Grater,24.0,No,No,No,Yes,,No,Mobile Internet,6,2,No,Private,Urban,Male,No,Mobile
1501,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,6,3,No,Public,Rural,Male,Yes,Computer
1502,Hons or Grater,25.0,Yes,No,No,No,Urban,No,Mobile Internet,6,3,Yes,Private,Urban,Male,No,Computer
1503,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,Yes,Private,Rural,Male,Yes,Computer
1504,Hons or Grater,22.0,No,No,Yes,No,Rural,No,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Computer
1505,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Public,Urban,Male,No,Mobile
1506,Upto HSC,21.0,Yes,No,No,No,Urban,No,Broadband,4,3,Yes,Private,Rural,Male,Yes,Mobile
1507,Hons or Grater,21.0,Yes,No,No,No,Urban,No,Mobile Internet,6,3,No,Private,Urban,,Yes,Mobile
1508,Hons or Grater,23.0,Yes,Yes,No,Yes,Urban,No,Broadband,4,4,No,Private,Rural,,Yes,Mobile
1509,Upto HSC,21.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,No,Public,,,No,Computer
1510,Upto HSC,22.0,Yes,No,Yes,Yes,Urban,No,Mobile Internet,5,4,Yes,Private,Urban,Female,,Computer
1511,Hons or Grater,25.0,Yes,No,No,No,,No,Mobile Internet,5,2,No,Private,,Female,Yes,Mobile
1512,Upto HSC,18.0,No,Yes,No,No,Urban,Yes,Broadband,5,2,No,,Rural,Female,Yes,Computer
1513,Hons or Grater,,Yes,No,No,No,Urban,No,Mobile Internet,5,2,No,Private,Urban,Male,Yes,Mobile
1514,Upto HSC,22.0,Yes,No,No,No,Urban,No,Broadband,5,3,Yes,,Urban,Female,Yes,Mobile
1515,Hons or Grater,24.0,Yes,No,Yes,No,Urban,No,Mobile Internet,6,4,No,Private,Rural,Male,Yes,Computer
1516,Upto HSC,24.0,Yes,No,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,Female,Yes,Mobile
1517,Upto HSC,25.0,Yes,No,Yes,No,Urban,No,Mobile Internet,6,2,No,Private,Urban,Female,No,Computer
1518,Upto HSC,24.0,Yes,No,Yes,No,Rural,No,Mobile Internet,4,2,No,Private,Urban,Male,Yes,Computer
1519,Hons or Grater,25.0,Yes,No,No,No,Urban,No,Mobile Internet,4,2,Yes,Private,Urban,,No,Computer
1520,Hons or Grater,21.0,No,No,Yes,No,Urban,No,Mobile Internet,4,4,No,Private,Urban,Female,Yes,Computer
1521,Hons or Grater,22.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,2,No,Public,Rural,Male,Yes,Mobile
1522,Upto HSC,,Yes,,Yes,No,Rural,Yes,Mobile Internet,3,3,Yes,Private,Rural,Female,No,Computer
1523,Upto HSC,25.0,Yes,No,No,No,Urban,No,Mobile Internet,4,3,Yes,Public,Rural,Male,No,Computer
1524,Upto HSC,19.0,Yes,Yes,No,No,,Yes,Mobile Internet,5,3,No,Public,,Female,No,Computer
1525,Upto HSC,17.0,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,2,Yes,Private,Rural,Male,Yes,Computer
1526,Hons or Grater,24.0,Yes,No,Yes,No,Urban,No,Broadband,4,2,No,Public,Urban,Male,,Computer
1527,Hons or Grater,,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,2,Yes,Private,Urban,Male,No,Computer
1528,Hons or Grater,,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,3,Yes,Private,Rural,Male,,Computer
1529,Hons or Grater,,Yes,Yes,No,No,Urban,Yes,Broadband,6,4,Yes,Private,Rural,Male,Yes,Mobile
1530,Hons or Grater,26.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,3,Yes,Private,Urban,Male,Yes,Computer
1531,Hons or Grater,23.0,,Yes,No,No,Urban,Yes,Mobile Internet,4,3,Yes,Private,Rural,Male,No,Mobile
1532,Upto HSC,19.0,,,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Public,Rural,Female,Yes,Computer
1533,Hons or Grater,25.0,Yes,No,No,No,Urban,No,Mobile Internet,5,2,No,Private,Urban,Male,Yes,Computer
1534,Upto HSC,,Yes,Yes,No,No,Rural,No,Broadband,6,2,No,Public,,Female,No,Computer
1535,Hons or Grater,,,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,Yes,Private,Urban,Female,No,Computer
1536,Hons or Grater,,Yes,Yes,No,Yes,Urban,No,Broadband,4,2,Yes,Public,Rural,Male,Yes,Computer
1537,Hons or Grater,25.0,Yes,,No,No,Urban,No,Broadband,4,3,No,Public,,Female,No,Mobile
1538,Hons or Grater,23.0,Yes,No,Yes,Yes,Urban,No,Mobile Internet,3,3,Yes,Private,Rural,Male,Yes,Computer
1539,Hons or Grater,,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,No,Private,Rural,Male,Yes,Computer
1540,Hons or Grater,,,Yes,No,No,Urban,No,Mobile Internet,6,3,Yes,Private,Rural,Female,Yes,Computer
1541,Hons or Grater,,Yes,Yes,No,No,Urban,No,Broadband,4,4,No,Private,Rural,Male,Yes,Mobile
1542,Upto HSC,,,,No,No,Urban,No,Mobile Internet,3,4,No,Private,Rural,Female,No,Computer
1543,Hons or Grater,24.0,Yes,No,Yes,No,Rural,No,Broadband,4,3,Yes,Public,Urban,Female,Yes,Mobile
1544,Hons or Grater,,Yes,,No,No,Urban,Yes,Broadband,4,3,Yes,,Rural,Female,No,Mobile
1545,Upto HSC,,Yes,Yes,No,Yes,Urban,No,Broadband,3,3,No,,Urban,Male,Yes,Mobile
1546,Hons or Grater,,Yes,Yes,No,Yes,Urban,No,Broadband,4,2,No,Public,Urban,Female,Yes,Computer
1547,Upto HSC,23.0,Yes,No,No,No,,No,Broadband,6,3,No,Private,Rural,Male,Yes,Computer
1548,Hons or Grater,,,,Yes,Yes,Urban,Yes,Mobile Internet,4,2,Yes,Public,,Female,No,Mobile
1549,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,3,Yes,Public,Urban,Female,No,Computer
1550,Hons or Grater,,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Public,Rural,Male,No,Mobile
1551,Upto HSC,,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,Yes,Private,Rural,Male,,Computer
1552,Upto HSC,,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,4,4,No,Private,,Male,Yes,Mobile
1553,Upto HSC,20.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,2,No,Private,Urban,Female,No,Computer
1554,Upto HSC,,,,No,No,Urban,No,Broadband,3,3,No,Private,Urban,Female,No,Computer
1555,Hons or Grater,,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,3,No,Private,,Male,Yes,Computer
1556,Upto HSC,18.0,No,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Female,No,Computer
1557,Hons or Grater,26.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,No,Private,Urban,Male,No,Computer
1558,Upto HSC,26.0,Yes,No,Yes,No,Urban,No,Mobile Internet,4,3,Yes,Public,Rural,Female,No,Computer
1559,Hons or Grater,26.0,,No,Yes,No,Urban,No,Mobile Internet,5,2,Yes,Public,Urban,Male,Yes,Computer
1560,Hons or Grater,26.0,Yes,No,No,No,Urban,No,Broadband,5,3,Yes,Private,,Female,No,Computer
1561,Upto HSC,25.0,Yes,No,No,No,Rural,No,Broadband,3,3,Yes,Private,Urban,Female,Yes,Computer
1562,Hons or Grater,26.0,Yes,No,No,No,Urban,No,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Computer
1563,Hons or Grater,24.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,4,3,No,Public,Urban,Male,Yes,Mobile
1564,Upto HSC,20.0,,No,Yes,No,Urban,No,Broadband,4,3,No,Public,Urban,Male,No,Computer
1565,Upto HSC,23.0,Yes,Yes,No,Yes,Rural,No,Broadband,3,3,Yes,Private,Rural,Male,No,Computer
1566,Hons or Grater,24.0,Yes,No,No,No,Rural,No,Mobile Internet,5,4,Yes,Private,Urban,Male,Yes,Mobile
1567,Upto HSC,23.0,Yes,Yes,No,No,Rural,Yes,Broadband,6,2,No,Private,Urban,Male,Yes,Computer
1568,Hons or Grater,24.0,Yes,Yes,No,Yes,,Yes,Mobile Internet,4,2,Yes,Public,Rural,Male,Yes,Computer
1569,Upto HSC,24.0,Yes,Yes,No,Yes,Rural,No,Broadband,4,4,No,Private,Rural,Male,No,Mobile
1570,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Male,Yes,Computer
1571,Upto HSC,25.0,No,Yes,No,No,Rural,Yes,Mobile Internet,5,2,No,,Urban,Female,No,Computer
1572,Upto HSC,18.0,Yes,Yes,No,Yes,Urban,No,Mobile Internet,3,3,No,,Urban,Male,No,Mobile
1573,Upto HSC,20.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Male,Yes,Computer
1574,Hons or Grater,23.0,Yes,Yes,No,Yes,Rural,Yes,Broadband,3,3,No,Private,Urban,Female,Yes,Mobile
1575,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Mobile Internet,5,2,No,Public,Rural,Male,No,Computer
1576,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Broadband,5,2,No,Private,Urban,Male,Yes,Computer
1577,Upto HSC,22.0,Yes,No,No,No,Urban,No,Mobile Internet,5,2,Yes,,,,Yes,Computer
1578,Hons or Grater,24.0,Yes,No,No,Yes,Rural,No,Broadband,5,2,No,Private,Rural,Female,No,Mobile
1579,Hons or Grater,24.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,3,Yes,Private,,Female,Yes,Computer
1580,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Private,Rural,Female,No,Computer
1581,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,4,No,Public,Urban,Female,Yes,Mobile
1582,Upto HSC,21.0,No,No,No,No,Urban,No,Mobile Internet,4,3,No,Private,,Male,Yes,Mobile
1583,Hons or Grater,21.0,Yes,No,No,Yes,Urban,No,Mobile Internet,6,3,Yes,Private,Rural,Male,No,Mobile
1584,Hons or Grater,23.0,Yes,Yes,No,No,Urban,No,Broadband,6,3,No,,Urban,Female,Yes,Computer
1585,Upto HSC,23.0,Yes,No,No,No,Urban,No,Mobile Internet,4,4,No,Private,Rural,Male,No,Computer
1586,Hons or Grater,21.0,Yes,No,No,No,Urban,No,Mobile Internet,5,3,Yes,Public,,Female,No,Computer
1587,Hons or Grater,,No,No,No,Yes,Urban,No,Broadband,4,3,No,Private,Rural,Male,No,Computer
1588,Hons or Grater,23.0,Yes,Yes,No,No,,No,Broadband,5,2,No,Public,Urban,Male,Yes,Computer
1589,Upto HSC,,Yes,,No,Yes,Urban,Yes,Broadband,5,4,Yes,Private,Urban,Male,Yes,Computer
1590,Hons or Grater,,,,Yes,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Male,Yes,Mobile
1591,Upto HSC,,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,,Yes,Computer
1592,Upto HSC,,,,No,No,Rural,Yes,Mobile Internet,4,3,Yes,Private,Urban,Male,Yes,Mobile
1593,Upto HSC,18.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,2,No,Private,Rural,Female,No,Mobile
1594,Hons or Grater,24.0,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,No,Private,Rural,Male,Yes,Computer
1595,Hons or Grater,23.0,Yes,No,No,Yes,Rural,No,Mobile Internet,4,3,No,Private,Rural,Male,Yes,Mobile
1596,Hons or Grater,22.0,Yes,No,No,Yes,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Male,Yes,Mobile
1597,Hons or Grater,25.0,Yes,No,No,Yes,Urban,No,Broadband,6,4,Yes,Private,Urban,Male,Yes,Computer
1598,Hons or Grater,25.0,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,4,No,Private,Urban,Female,No,Computer
1599,Hons or Grater,24.0,Yes,Yes,No,No,Urban,No,Mobile Internet,3,3,No,Private,Urban,Male,,Computer
1600,Hons or Grater,21.0,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,2,Yes,Public,,,Yes,Computer
1601,Upto HSC,,Yes,No,Yes,Yes,Rural,No,Broadband,5,2,No,Public,Urban,,No,Computer
1602,Hons or Grater,23.0,Yes,No,No,Yes,Urban,No,Mobile Internet,3,3,Yes,Private,Urban,Female,Yes,Mobile
1603,Hons or Grater,23.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,2,Yes,Private,Rural,Female,Yes,Mobile
1604,Hons or Grater,24.0,No,Yes,No,No,Urban,Yes,Broadband,5,4,No,Private,Urban,Female,Yes,Computer
1605,Upto HSC,,Yes,No,Yes,No,Urban,No,Mobile Internet,5,2,Yes,Private,Rural,Female,Yes,Computer
1606,Upto HSC,22.0,Yes,No,No,No,Rural,No,Mobile Internet,5,4,Yes,Private,,,No,Computer
1607,Upto HSC,19.0,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,2,Yes,Private,Rural,Male,Yes,Computer
